make_year,ext_make_year,make_target,make_freq,model_target,model_freq,transmission_target,transmission_freq,body_type_target,body_type_target,fuel_type_Diesel,fuel_type_Gasoline,kms_driven,engine_size,resale_price,srp,no_sc_mmnl
2021,2024,548857.1964662132,0.039609993906154786,868564.7095858935,0.0030469226081657527,753252.8193717279,0.2327848872638635,540023.2803815576,540023.2803815576,0,1,30000.0,1.0,415000.0,620000.0,9
2021,2024,548857.1964662132,0.039609993906154786,868564.7095858935,0.0030469226081657527,753252.8193717279,0.2327848872638635,540023.2803815576,540023.2803815576,0,1,35000.0,1.0,410000.0,620000.0,9
2021,2024,548857.1964662132,0.039609993906154786,868564.7095858935,0.0030469226081657527,753252.8193717279,0.2327848872638635,540023.2803815576,540023.2803815576,0,1,9000.0,1.0,448000.0,620000.0,9
2022,2024,548857.1964662132,0.039609993906154786,868564.7095858935,0.0030469226081657527,753252.8193717279,0.2327848872638635,540023.2803815576,540023.2803815576,0,1,6000.0,1.0,528000.0,620000.0,9
2023,2024,548857.1964662132,0.039609993906154786,868564.7095858935,0.0030469226081657527,753252.8193717279,0.2327848872638635,540023.2803815576,540023.2803815576,0,1,800.0,1.0,560000.0,620000.0,9
2008,2024,548857.1964662132,0.039609993906154786,844108.8658722449,0.0042656916514320535,753252.8193717279,0.2327848872638635,875357.4906382348,875357.4906382348,0,1,90000.0,1.6,270000.0,743000.0,9
2017,2024,548857.1964662132,0.039609993906154786,844108.8658722449,0.0042656916514320535,1102810.8291457286,0.6063375990249847,875357.4906382348,875357.4906382348,0,1,40000.0,1.6,480000.0,743000.0,9
2019,2024,548857.1964662132,0.039609993906154786,844108.8658722449,0.0042656916514320535,753252.8193717279,0.2327848872638635,875357.4906382348,875357.4906382348,0,1,70000.0,1.6,410000.0,743000.0,9
2019,2024,548857.1964662132,0.039609993906154786,844108.8658722449,0.0042656916514320535,753252.8193717279,0.2327848872638635,875357.4906382348,875357.4906382348,0,1,38000.0,1.6,415000.0,743000.0,9
2008,2024,548857.1964662132,0.039609993906154786,844108.8658722449,0.0042656916514320535,1102810.8291457286,0.6063375990249847,1118522.8235383262,1118522.8235383262,0,1,83000.0,1.6,438000.0,743000.0,9
2014,2024,548857.1964662132,0.039609993906154786,844108.8658722449,0.0042656916514320535,1102810.8291457286,0.6063375990249847,1118522.8235383262,1118522.8235383262,0,1,73000.0,1.59,468000.0,743000.0,9
